Province/State;Country/region;lat;long;25/mar;26/mar;27/mar;28/mar;29/mar;30/mar;31/mar;01/abr;02/abr;03/abr;04/abr;05/abr;06/abr;07/abr;08/abr;09/abr;10/abr;11/abr;12/abr;13/abr;14/abr;15/abr;16/abr;17/abr;18/abr;19/abr;20/abr;21/abr;22/abr;23/abr;24/abr;25/abr;26/abr;27/abr;28/abr;29/abr;30/abr;01/mai;02/mai;03/mai;04/mai;05/mai;06/mai;07/mai;08/mai;09/mai;10/mai;11/mai;12/mai;13/mai;14/mai;15/mai;16/mai;17/mai;18/mai;19/mai;20/mai;21/mai;22/mai;23/mai;24/mai
Amapá;Brazil;2,053921245;-50,79321447;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;6;6;6;10;10;10;10;10;12;20;21;25;25;41
Calçoene;Brazil;2,496559045;-50,94477273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;3;4;4;4;4;4;4;7;7;7;7;7;7;8;10;13;13;21;22
Cutias;Brazil;0,971078055;-50,80162603;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10;10;11;13;21;25;30;30;30;30;30;30;30;31;40;52;57;70;70
Ferreira Gomes;Brazil;0,853977393;-51,18742905;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;3;3;4;4;4;6;10;11;14;18;18;18;18;40;40;49;54;54
Itaubal;Brazil;0,600653288;-50,70017944;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;3;3;3;3;3;4;5;5;5;5;6;6;6;6;9;9;9;9;10;10;11;16;18;18;18;19;19
Laranjal do Jari;Brazil;-0,8556645;-52,53902074;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;5;7;8;12;15;15;15;21;22;32;38;52;52;63;63;89;92;97;105;156;168;180;180;186;204;237;246;246;249;271;301;350;445;603;715;803
Macapá;Brazil;0,03895101;-51,05740546;2;2;3;4;6;8;10;11;12;19;27;29;34;47;95;97;146;172;204;209;261;286;303;308;321;341;358;379;405;451;504;540;636;663;726;790;855;857;892;1099;1263;1388;1451;1559;1616;1707;1790;1832;1966;1990;2353;2513;2639;2674;2692;2890;2912;3257;3336;3516;3577
Mazagão;Brazil;-0,124396329;-51,28607686;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;2;2;3;3;9;9;12;12;12;12;13;13;13;13;20;25;25;31;31;31;31;36;45;45;45;48;64;71;78;80;94;94;113;119;130
Oiapoque;Brazil;3,851130733;-51,83055256;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;2;2;2;4;5;5;5;5;6;6;6;7;7;12;12;21;23;23;24;24;24;28;31;45;51;53;53;54;54;56;57;59;60;68;73;77;83;94;102;108;139;144
Pedra Branca do Amapari;Brazil;0,776882861;-51,94659427;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;4;4;8;11;11;13;14;15;21;32;36;40;43;43;43;45;56;60;63;76;96;96;202;227;251
Porto Grande;Brazil;0,712554702;-51,41444882;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;6;6;7;7;7;7;7;8;8;8;8;21;26;26;27;27;28;34;34;46;57;63;69;72;76;79;95;95;97;103;110;134
Pracuúba;Brazil;1,742508487;-50,78425372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;5;5;5;5;5;5;5;5;5;7
Santana;Brazil;-0,038373479;-51,17284647;0;0;0;0;0;0;0;0;0;0;0;2;2;3;11;12;19;21;31;31;31;43;43;51;60;60;60;60;61;61;61;103;117;117;117;117;136;138;151;221;265;316;330;347;348;395;397;397;434;461;470;479;506;566;579;589;619;768;831;834;846
Serra do Navio;Brazil;0,897841041;-52,00353844;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;5;6;7;7;9;9;9;11;14;16;16;17;17;17;32;35;36;36;43;43;43;43;83;97;104;117;125
Tartarugalzinho;Brazil;1,50984824;-50,91278615;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;7;7;7;7;7;8;9;9;10;10;10;10;10;10;10;11;12;12;12;12;12;12;12;12;12;24;34
Vitória do Jari;Brazil;-0,918977089;-52,41961478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;5;5;5;9;9;9;11;13;17;22;22;25;36;39;42;47;48;48;48;51;61;71;76;96;96
