Province/State;Country/region;lat;long;25/mar;26/mar;27/mar;28/mar;29/mar;30/mar;31/mar;01/abr;02/abr;03/abr;04/abr;05/abr;06/abr;07/abr;08/abr;09/abr;10/abr;11/abr;12/abr;13/abr;14/abr;15/abr;16/abr;17/abr;18/abr;19/abr;20/abr;21/abr;22/abr;23/abr;24/abr;25/abr;26/abr;27/abr;28/abr;29/abr;30/abr;01/mai;02/mai;03/mai;04/mai;05/mai;06/mai;07/mai;08/mai;09/mai;10/mai;11/mai;12/mai;13/mai;14/mai;15/mai;16/mai;17/mai;18/mai;19/mai;20/mai;21/mai;22/mai;23/mai;24/mai
Amapá;Brazil;2,053921245;-50,79321447;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;6;7;7;11;11;11
Calçoene;Brazil;2,496559045;-50,94477273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;2;2;2;2;2;2
Cutias;Brazil;0,971078055;-50,80162603;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;10;10;10;10;10;10;10;10
Ferreira Gomes;Brazil;0,853977393;-51,18742905;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2
Itaubal;Brazil;0,600653288;-50,70017944;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;8;8;8;8;9;9;9;9;9
Laranjal do Jari;Brazil;-0,8556645;-52,53902074;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3;3;3;5;5;5;5;7;7;12;21;28;28;28;50;63;72;91;100;100;105;105;115;132;180;282;338;378
Macapá;Brazil;0,03895101;-51,05740546;0;0;0;0;0;0;0;0;0;0;0;4;4;23;23;51;53;83;98;98;130;138;154;158;171;181;198;214;225;226;236;249;264;316;372;419;422;425;426;432;438;443;461;462;472;481;487;488;519;652;652;665;667;709;731;757;825;1024;1034;1513;1595
Mazagão;Brazil;-0,124396329;-51,28607686;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;16;16;16;20;20;20;20;20;23;23;23;23;23;23;23
Oiapoque;Brazil;3,851130733;-51,83055256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;6;6;6;6;6;6;8;8;8;10;10;10;10;32;32;32;43;43;43;47;47;47;47;47;47;47
Pedra Branca do Amapari;Brazil;0,776882861;-51,94659427;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;5;5;15;15;15
Porto Grande;Brazil;0,712554702;-51,41444882;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;6;6;7;13;13;14;14;17;19;19;19;19;19;19;19;26;30;32;34;36
Pracuúba;Brazil;1,742508487;-50,78425372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Santana;Brazil;-0,038373479;-51,17284647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;7;7;7;7;7;14;14;14;29;30;30;30;30;38;38;49;57;57;73;78;82;92;100;120;131;142;156;156;162;165;177;188;197;214;220;224;238;238
Serra do Navio;Brazil;0,897841041;-52,00353844;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;6;6;6;6;6;8;9;9;9;9;9;9;9;9;9;9
Tartarugalzinho;Brazil;1,50984824;-50,91278615;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;11;11;19;26
Vitória do Jari;Brazil;-0,918977089;-52,41961478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3;3;3;3;3;3;3;6;6;6;6;6;9;9;9;25;25;25;25
